"product_id";"name";"categories";"main_categories";"sku";"upc";"location";"quantity";"model";"manufacturer";"image_name";"requires shipping";"price";"points";"date_added";"date_modified";"date_available";"weight";"unit";"length";"width";"height";"length unit";"status enabled";"tax_class_id";"viewed";"language_id";"seo_keyword";"description";"meta_description";"meta_keywords";"seo_title";"seo_h1";"stock_status_id";"store_ids";"layout";"related_ids";"tags";"sort_order";"subtract";"minimum"
"137";"Цифровой фотоаппарат Nikon Coolpix S1100pj";"1014";;"1036617146";;;"";;"";"data/137-242-thickbox.jpg";"yes";"410.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Цифровая тонкая фотокамера с разрешением 14,1 мегапикселей. Широкоугольный объектив NIKKOR с 5-кратным увеличением обеспечивает потрясающе точную передачу деталей и высокое разрешение. (Эквивалент формата 35 мм для пленочных фотокамер: 28 – 140 мм). Встроенный проектор позволяет проецировать избранные фотографии или видеоклипы. Поддержка ярких (до 14 люмен) проекций качества VGA на экране размером от 26 до 240 см (от 5 до 47 дюймов). Проецирование изображений с ПК или карты памяти. Гибридное VR (смещение объектива и электронное подавление вибраций). Сенсорный ЖК экран с диагональю 7,6 см (3 дюйма), разрешением 460 тыс. точек. Яркие видеоклипы высокой четкости в формате 720р HD. 17 сюжетных режимов. Варианты расцветок - желтый, сиреневый, черный, серый.</p>";;;"Цифровой фотоаппарат Nikon Coolpix S1100pj";"Цифровой фотоаппарат Nikon Coolpix S1100pj";7;0;;;;0;"true";1
"134";"Штатив Hama Traveller Mini H-4048";"1022";;"1455664353";;;"";;"";"data/134-232-thickbox.jpg";"yes";"60.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Компактный штатив-треножник для фото/видеокамер и микрофонов. Шаровая головка. Вес 215 г.</p>";;;"Штатив Hama Traveller Mini H-4048";"Штатив Hama Traveller Mini H-4048";7;0;;;;0;"true";1
"135";"Штатив Rekam RT-L38";"1022";;"633126586";;;"";;"";"data/135-235-thickbox.jpg";"yes";"81.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Напольный штатив для фото- и видеокамер. Корпус выполнен из металла серебристого цвета, ручка для переноса, механический подъемник, крюк для сумки, панорамная 3-D головка.</p>";;;"Штатив Rekam RT-L38";"Штатив Rekam RT-L38";7;0;;;;0;"true";1
"131";"Объектив Canon EF-S 18-55mm f3.5-5.6 IS";"1023";;"952091862";;;"";;"";"data/131-229-thickbox.jpg";"yes";"120.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Стандартный объектив общего назначения с 4-ступенчатым стабилизатором изображения, который помогает добиться значительно лучших результатов в условиях слабой освещенности. Изготовлен на основе профессиональной оптики, с использованием асферического элемента. Подходит для съёмки без штатива при различном освещении. Минимальное расстояние фокусировки объектива составляет всего 25 см при любом увеличении, обеспечивая возможность макросъёмки.</p>";;;"Объектив Canon EF-S 18-55mm f3.5-5.6 IS";"Объектив Canon EF-S 18-55mm f3.5-5.6 IS";7;0;;;;0;"true";1
"132";"Объектив Canon EF 50 mm f1.8 II";"1023";;"1385069830";;;"";;"";"data/132-230-thickbox.jpg";"yes";"133.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Стандартный объектив с постоянным фокусным расстоянием. Компактный и легкий, обеспечивает отличное качество изображения при светосиле, превосходящей возможности любого объектива с переменным фокусным расстоянием. Классическая оптическая схема. Система автофокусировки базируется на встроенном микромоторе.</p>";;;"Объектив Canon EF 50 mm f1.8 II";"Объектив Canon EF 50 mm f1.8 II";7;0;;;;0;"true";1
"133";"Объектив Canon EF 70-200 f 4L USM";"1023";;"968172589";;;"";;"";"data/133-231-thickbox.jpg";"yes";"775.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Телеобъектив с постоянной светосилой. Модель выполнена в прочном, пыле- и влагозащитном корпусе. Диафрагма объектива с круглым отверстием позволяет получать привлекательный эффект размытого фона. Оптическая схема объектива включает 13 линз в 16 группах. В числе элементов имеются две линзы из низкодисперсионного стекла UD и одна флюоритовая. Такая конструкция обеспечивает превосходное качество изображения с минимальным уровнем аберраций при любом значении фокусного расстояния. Многослойное просветление Super Spectra. Фокусировка осуществляется при помощи кольцевого ультразвукового мотора USM.</p>";;;"Объектив Canon EF 70-200 f 4L USM";"Объектив Canon EF 70-200 f 4L USM";7;0;;;;0;"true";1
"129";"Вспышка Canon Speedlite 580EX II";"1024";;"2085598530";;;"";;"";"data/129-227-thickbox.jpg";"yes";"620.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Вспышка для любых погодных условий. Управление с помощью меню фотокамеры. Надёжная конструкция защищает детали вспышки от попадания пыли и влаги при съёмке с выносной колодкой. Бесшумный и быстрый перезаряд.</p>";;;"Вспышка Canon Speedlite 580EX II";"Вспышка Canon Speedlite 580EX II";7;0;;;;0;"true";1
"130";"Вспышка Nikon Speedlight SB-900";"1024";;"957835494";;;"";;"";"data/130-228-thickbox.jpg";"yes";"530.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Профессиональная вспышка i-TTL, совместимая с зеркальными фотокамерами. Три шаблона освещения: центрально-взвешенный, равномерный и стандартный. Набор усовершенствованных функций. Система термальной защиты, автоматическое определение фильтра.</p>";;;"Вспышка Nikon Speedlight SB-900";"Вспышка Nikon Speedlight SB-900";7;0;;;;0;"true";1
"127";"Цифровая фоторамка Sony DPF-A710";"1025";;"647001831";;;"";;"";"data/127-222-thickbox.jpg";"yes";"110.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Цифровая фоторамка с 7-дюймовым широкоформатным ЖК-экраном со светодиодной подсветкой обеспечивает четкое и детализированное отображение фотографий. Встроенная память 128 МБ позволяет хранить до 200 фотографий. Большой выбор настроек слайд-шоу, разные варианты оформления часов и календаря, функции поиска фотографий по папкам, событиям и тегам пользователя. Интеллектуальный сенсор поворачивает изображение при изменении положения рамки. Оснащена пультом дистанционного управления.</p>";;;"Цифровая фоторамка Sony DPF-A710";"Цифровая фоторамка Sony DPF-A710";7;0;;;;0;"true";1
"128";"Цифровая фоторамка Transcend PF705";"1025";;"578454477";;;"";;"";"data/128-225-thickbox.jpg";"yes";"73.00";0;"2009-02-03 16:06:50";"2012-02-27 06:55:31";"2009-02-03";;;;;;;"true";;;"1";;"<p>Широкоэкранная цветная TFT LCD панель с диагональю 7 дюймов и отношением сторон 16:9. Поддержка USB флэш-накопителей и карт памяти SD/SDHC/MMC/MS Полная совместимость с интерфейсом Hi-Speed USB 2.0 и обратная совместимость с USB 1.1. Прямое подключение к ПК с помощью USB для простого обмена файлами. Выбор различных фотографий для создания слайдшоу. Возможность просмотра изображений в режиме слайд-шоу, в режиме пиктограмм, в обычномрежиме, а также возможность увеличения изображения. Функция напоминаний о важных датах/событиях. Функции календаря и часов. Автоматическое выключение и таймер для перехода в неактивный режим. Возможность выбора цветовых режимов. Цвета: белый, черный.</p>";;;"Цифровая фоторамка Transcend PF705";"Цифровая фоторамка Transcend PF705";7;0;;;;0;"true";1
